id,collection_id,material_id,denomination_id,condition,year_created,length,width,description,link,numeric_value,extra_year,units
f43e6354-1488-4148-993d-0c9a98b5b95d,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,3f4aabf6-6d54-435d-9fd2-3d47a47f7561,VERY_GOOD,1961,114,57,,https://en.numista.com/catalogue/note204574.html,3,,1
edf51f94-c80e-414f-991b-17f32f94c3a5,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,3f4aabf6-6d54-435d-9fd2-3d47a47f7561,VERY_GOOD,1961,114,57,,https://en.numista.com/catalogue/note204497.html,5,,2
5f968fe9-f6dc-4278-9491-b86a4a72c634,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,3f4aabf6-6d54-435d-9fd2-3d47a47f7561,VERY_GOOD,1961,119,60,,https://en.numista.com/catalogue/note204577.html,10,,1
d5880579-173c-456e-90d4-e49019d17938,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,3f4aabf6-6d54-435d-9fd2-3d47a47f7561,VERY_GOOD,1961,121,62,,https://en.numista.com/catalogue/note202408.html,25,,1
f0788bc9-2c06-4e8a-908a-26c7b875954b,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,2010,114,58,,https://en.numista.com/catalogue/note202816.html,1,2006,5
0f23beee-1e41-4f2b-9d5d-c7b052244790,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,2013,114,58,,https://en.numista.com/catalogue/note203083.html,5,,1
0377ad25-0d63-403f-b539-784669c578ad,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,2015,121,61,,https://en.numista.com/catalogue/note202336.html,10,,1
e8595c8e-76b0-4c41-9119-6cc217a3e333,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,2015,121,61,,https://en.numista.com/catalogue/note215899.html,20,,1
851a4150-836c-4c04-b090-140ff27f6d6a,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,2015,121,61,,https://en.numista.com/catalogue/note215902.html,50,,1
3701b6d6-d5c1-46dd-9918-be5c492ee01a,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,2008,121,61,,https://en.numista.com/catalogue/note203091.html,100,,1
